low1,low2,high1,high2,tf1,train_final_price,train_n_trades,train_n_buy,train_n_sell,train_final_cash,train_final_position,train_final_equity,train_baseline,train_excess,train_excess_pct,train_max_drawdown,train_turnover,test_final_price,test_n_trades,test_n_buy,test_n_sell,test_final_cash,test_final_position,test_final_equity,test_baseline,test_excess,test_excess_pct,test_max_drawdown,test_turnover
1.2,0.3,1.5,0.5,60,0.831,103,49,54,256700.0,150000.0,381350.0,366200.0,15150.0,4.137083560895685,0.06696640509369153,872400.0,0.851,120,61,59,196990.0,220000.0,384210.0,370200.0,14010.0,3.784440842787682,0.10444027517198248,994910.0
1.2,0.3,1.5,0.8,60,0.831,110,49,61,314780.0,80000.0,381260.0,366200.0,15060.0,4.112506826870563,0.06370138578453285,930480.0,0.851,130,61,69,281950.0,120000.0,384070.0,370200.0,13870.0,3.7466234467855215,0.09558555271798613,1079870.0
1.5,0.8,2.5,0.3,60,0.831,46,36,10,0.0,438396.4365256125,364307.438752784,366200.0,-1892.5612472160137,-0.5168108266564757,0.16883127982946147,366840.0,0.851,68,47,21,0.0,449617.2136100731,382624.24878217216,370200.0,12424.248782172159,3.3560909730340787,0.14429984383133784,553540.0
1.5,0.8,2.5,0.8,60,0.831,44,34,10,0.0,438585.7461024499,364464.7550111358,366200.0,-1735.2449888641713,-0.47385171733046727,0.16879513810929697,367180.0,0.851,70,48,22,0.0,449513.88587478845,382536.316879445,370200.0,12336.316879444988,3.3323384331293866,0.14390567658311862,571380.0
1.5,0.8,2.5,0.5,60,0.831,46,36,10,0.0,438474.38752783963,364372.2160356347,366200.0,-1827.7839643653133,-0.4991217816398999,0.1688163945458333,366980.0,0.851,70,48,22,0.0,449169.67491117876,382243.3933494131,370200.0,12043.39334941312,3.253212682175343,0.14424778761061946,570760.0
1.2,0.5,1.2,0.5,60,0.831,125,53,72,350250.0,10000.0,358560.0,366200.0,-7640.0,-2.0862916439104313,0.04447527106984118,1034530.0,0.851,154,69,85,347840.0,40000.0,381880.0,370200.0,11680.0,3.1550513236088604,0.08818922305764411,1278920.0
1.5,0.5,2.5,0.8,60,0.831,42,32,10,11600.0,420000.0,360620.0,366200.0,-5580.0,-1.5237575095576188,0.15576805887591993,355580.0,0.851,62,40,22,58450.0,380000.0,381830.0,370200.0,11630.0,3.1415451107509456,0.135550870617631,512930.0
1.5,0.5,2.5,0.5,60,0.831,42,32,10,11500.0,420000.0,360520.0,366200.0,-5680.0,-1.5510649918077553,0.155804576144036,355480.0,0.851,62,40,22,58140.0,380000.0,381520.0,370200.0,11320.0,3.0578065910318744,0.13589276418532015,512620.0
1.5,0.5,2.5,0.3,60,0.831,42,32,10,11430.0,420000.0,360450.0,366200.0,-5750.0,-1.5701802293828508,0.1558301484208305,355410.0,0.851,61,40,21,49530.0,390000.0,381420.0,370200.0,11220.0,3.0307941653160455,0.13594482040603853,504010.0
1.2,0.8,2.5,0.8,60,0.831,51,41,10,0.0,476540.9920528761,396005.56439594005,366200.0,29805.564395940048,8.139149206974345,0.19120443385026376,367180.0,0.851,75,53,22,0.0,447650.64015559945,380950.6947724151,370200.0,10750.694772415096,2.90402343933417,0.1920853554934574,571380.0
1.5,0.3,2.5,0.8,60,0.831,40,30,10,27260.0,400000.0,359660.0,366200.0,-6540.0,-1.7859093391589296,0.14855192681423898,339920.0,0.851,59,37,22,82970.0,350000.0,380820.0,370200.0,10620.0,2.8687196110210698,0.13060565836391558,488410.0
1.2,0.8,2.5,0.5,60,0.831,51,41,10,0.0,476433.40596792643,395916.16035934683,366200.0,29716.16035934683,8.114735215550747,0.19120491279976848,366980.0,0.851,75,53,22,0.0,447265.7162324822,380623.12451384234,370200.0,10423.12451384234,2.815538766570054,0.19220206953767843,570760.0
1.2,0.8,2.5,0.8,21,0.831,29,26,3,0.0,425997.88806758187,354004.2449841605,366200.0,-12195.755015839473,-3.3303536362205004,0.1886871639106653,249200.0,0.851,56,41,15,0.0,447223.22414427676,380586.9637467795,370200.0,10386.963746779482,2.8057708662289254,0.16143451143451143,455500.0
1.2,0.8,2.5,0.5,21,0.831,29,26,3,0.0,426008.44772967265,354013.02006335795,366200.0,-12186.979936642048,-3.327957383026228,0.1886856692771596,249220.0,0.851,54,40,14,-5.684341886080802e-14,447202.1399652979,380569.0211104685,370200.0,10369.021110468486,2.8009241249239563,0.16156444906444906,437200.0
1.5,0.3,2.5,0.5,60,0.831,40,30,10,27160.0,400000.0,359560.0,366200.0,-6640.0,-1.8132168214090663,0.148587142044377,339820.0,0.851,59,37,22,82660.0,350000.0,380510.0,370200.0,10310.0,2.784981091301999,0.13094742321707445,488100.0
1.2,0.8,2.5,0.3,21,0.831,29,26,3,0.0,426019.00739176344,354021.7951425554,366200.0,-12178.204857444623,-3.3255611298319563,0.18868417471224178,249240.0,0.851,54,40,14,0.0,447030.5221094695,380422.97431515856,370200.0,10222.974315158557,2.7614733428305125,0.1615904365904366,436900.0
1.5,0.3,2.5,0.3,60,0.831,40,30,10,27090.0,400000.0,359490.0,366200.0,-6710.0,-1.8323320589841616,0.14861180264124996,339750.0,0.851,58,37,21,74050.0,360000.0,380410.0,370200.0,10210.0,2.7579686655861697,0.1309994794377928,479490.0
