low1,low2,high1,high2,tf1,scale,train_final_price,train_n_trades,train_n_buy,train_n_sell,train_final_cash,train_final_position,train_final_equity,train_baseline,train_excess,train_excess_pct,train_years,train_ann_excess_pct,train_sharpe_excess,train_x_mdd,train_max_drawdown,train_turnover,train_ann_net,test_final_price,test_n_trades,test_n_buy,test_n_sell,test_final_cash,test_final_position,test_final_equity,test_baseline,test_excess,test_excess_pct,test_years,test_ann_excess_pct,test_sharpe_excess,test_x_mdd,test_max_drawdown,test_turnover,test_ann_net,ann_net_min,ann_net_mean,pos_ratio,sharpe_min,x_mdd_max,filter_pass,S,score,pareto
1.5,0.8,1.5,1.0,60,1.0,1.058,71,32,39,395360.0,60000.0,458840.0,411600.0,47240.0,11.477162293488824,0.48248726138869874,23.787492876921068,2.3089223927560254,0.05649625331381187,0.08648874061718098,1666440.0,23.36792863443783,1.147,15,3,12,415120.0,20000.0,438060.0,429400.0,8660.0,2.0167675826734976,0.17584797322990342,11.468813348430114,1.0333473527762553,0.03845040062150425,0.04111310592459605,353120.0,11.234987287829789,11.234987287829789,11.234987287829789,1.0,1.0333473527762553,0.03845040062150425,False,0.09986986411172827,10.214833276574348,False
1.5,0.5,1.5,1.0,60,1.0,1.058,65,28,37,431180.0,20000.0,452340.0,411600.0,40740.0,9.89795918367347,0.48248726138869874,20.51444665126512,1.6476866264524759,0.07232200794988766,0.0866138448707256,1526900.0,20.1300147834225,1.147,15,3,12,415160.0,20000.0,438100.0,429400.0,8700.0,2.026082906380997,0.17584797322990342,11.521787082141111,1.0375478157765035,0.03845040062150425,0.04111310592459605,353080.0,11.28798750840764,11.28798750840764,11.28798750840764,1.0,1.0375478157765035,0.03845040062150425,False,0.10605258897208425,10.205651721224386,True
1.5,0.3,1.5,1.0,60,1.0,1.058,58,24,34,450040.0,0.0,450040.0,411600.0,38440.0,9.33916423712342,0.48248726138869874,19.35629183295609,1.2769566802192107,0.0962357461253265,0.08027522935779817,1356000.0,19.014887934341516,1.147,15,3,12,415060.0,20000.0,438000.0,429400.0,8600.0,2.0027945971122496,0.17584797322990342,11.389352747863624,1.025580399301138,0.03844007203179757,0.04111310592459605,353180.0,11.155486956963015,11.155486956963015,11.155486956963015,1.0,1.025580399301138,0.03844007203179757,False,0.10527466509010786,10.092954547233342,False
1.8,0.5,1.5,1.0,60,1.0,1.058,55,23,32,434400.0,20000.0,455560.0,411600.0,43960.0,10.680272108843537,0.48248726138869874,22.135863396897758,1.4117218430725287,0.10676139902370946,0.07293577981651377,1276280.0,21.81453082483005,1.147,15,3,12,415160.0,20000.0,438100.0,429400.0,8700.0,2.026082906380997,0.17584797322990342,11.521787082141111,1.0375478157765035,0.03845040062150425,0.04111310592459605,353080.0,11.28798750840764,11.28798750840764,11.28798750840764,1.0,1.0375478157765035,0.03845040062150425,False,0.12290615715750586,10.052476279034524,False
1.8,0.8,1.5,1.0,60,1.0,1.058,58,26,32,365300.0,80000.0,449940.0,411600.0,38340.0,9.314868804664723,0.48248726138869874,19.305937275638307,1.3974627698602984,0.10677582816764546,0.0969557964970809,1345380.0,18.967207204017306,1.147,15,3,12,415120.0,20000.0,438060.0,429400.0,8660.0,2.0167675826734976,0.17584797322990342,11.468813348430114,1.0333473527762553,0.03845040062150425,0.04111310592459605,353120.0,11.234987287829789,11.234987287829789,11.234987287829789,1.0,1.0333473527762553,0.03845040062150425,False,0.11775765491357282,10.051362420504738,False
1.5,1.0,1.5,1.0,60,1.0,1.058,74,34,40,374400.0,80000.0,459040.0,411600.0,47440.0,11.52575315840622,0.48248726138869874,23.888201991556635,2.6337088762901204,0.048309379522719596,0.08811509591326105,1739400.0,23.45026840656387,1.147,15,3,12,415100.0,20000.0,438040.0,429400.0,8640.0,2.012109920819748,0.17584797322990342,11.442326481574616,1.031243961208004,0.03845040062150425,0.04111310592459605,353140.0,11.208487177540862,11.208487177540862,11.208487177540862,1.0,1.031243961208004,0.03845040062150425,False,0.11539860316680095,10.048862483526621,False
1.8,0.3,1.5,1.0,60,1.0,1.058,50,20,30,457120.0,0.0,457120.0,411600.0,45520.0,11.059280855199223,0.48248726138869874,22.921394491055185,1.3309380661024923,0.11404883001653238,0.06551292743953295,1160120.0,22.629307845877648,1.147,15,3,12,415060.0,20000.0,438000.0,429400.0,8600.0,2.0027945971122496,0.17584797322990342,11.389352747863624,1.025580399301138,0.03844007203179757,0.04111310592459605,353180.0,11.155486956963015,11.155486956963015,11.155486956963015,1.0,1.025580399301138,0.03844007203179757,False,0.12160141456115414,9.946035028252698,False
2.0,0.5,1.5,1.0,60,1.0,1.058,46,18,28,463040.0,0.0,463040.0,411600.0,51440.0,12.49757045675413,0.48248726138869874,25.902384284267985,1.397610575185461,0.11463025522465443,0.048790658882402,1070960.0,25.632745700742717,1.147,15,3,12,415160.0,20000.0,438100.0,429400.0,8700.0,2.026082906380997,0.17584797322990342,11.521787082141111,1.0375478157765035,0.03845040062150425,0.04111310592459605,353080.0,11.28798750840764,11.28798750840764,11.28798750840764,1.0,1.0375478157765035,0.03845040062150425,False,0.13922330669872174,9.908494183742024,False
2.0,0.8,1.5,1.0,60,1.0,1.058,53,22,31,435840.0,20000.0,457000.0,411600.0,45400.0,11.030126336248786,0.48248726138869874,22.860969022273846,1.3578878903293727,0.11353404788845375,0.07080900750625521,1228000.0,22.551792040342654,1.147,15,3,12,415120.0,20000.0,438060.0,429400.0,8660.0,2.0167675826734976,0.17584797322990342,11.468813348430114,1.0333473527762553,0.03845040062150425,0.04111310592459605,353120.0,11.234987287829789,11.234987287829789,11.234987287829789,1.0,1.0333473527762553,0.03845040062150425,False,0.13549961538513355,9.894311839127447,False
1.8,1.0,1.5,1.0,60,1.0,1.058,60,28,32,322600.0,120000.0,449560.0,411600.0,37960.0,9.222546161321672,0.48248726138869874,19.11458995783073,1.4699868596952073,0.10690564970277594,0.10617180984153461,1388080.0,18.765109188222382,1.147,15,3,12,415120.0,20000.0,438060.0,429400.0,8660.0,2.0167675826734976,0.17584797322990342,11.468813348430114,1.0333473527762553,0.03845040062150425,0.04111310592459605,353120.0,11.234987287829789,11.234987287829789,11.234987287829789,1.0,1.0333473527762553,0.03845040062150425,False,0.1369908119033475,9.881335161382856,False
2.0,0.3,1.5,1.0,60,1.0,1.058,42,16,26,463500.0,0.0,463500.0,411600.0,51900.0,12.609329446064141,0.48248726138869874,26.134015247929796,1.3923421361759816,0.1145581298851212,0.04891576313594662,981540.0,25.886890186981308,1.147,15,3,12,415060.0,20000.0,438000.0,429400.0,8600.0,2.0027945971122496,0.17584797322990342,11.389352747863624,1.025580399301138,0.03844007203179757,0.04111310592459605,353180.0,11.155486956963015,11.155486956963015,11.155486956963015,1.0,1.025580399301138,0.03844007203179757,False,0.13661009699668625,9.8146998574442,False
1.5,0.0,1.5,1.0,60,1.0,1.058,50,20,30,451500.0,0.0,451500.0,411600.0,39900.0,9.693877551020408,0.48248726138869874,20.091468369795738,1.1760451406741965,0.10587094964962451,0.07035029190992494,1175940.0,19.795398679134365,1.147,14,2,12,437860.0,0.0,437860.0,429400.0,8460.0,1.9701909641360038,0.17584797322990342,11.203944679875148,1.0087852355593674,0.038425612006208226,0.04111310592459605,330380.0,10.985176403082173,10.985176403082173,10.985176403082173,1.0,1.0087852355593674,0.038425612006208226,False,0.12574055343039825,9.7581777342992,False
2.0,1.0,1.5,1.0,60,1.0,1.058,54,23,31,415080.0,40000.0,457400.0,411600.0,45800.0,11.127308066083575,0.48248726138869874,23.062387251544976,1.4215361421125745,0.11351574651662531,0.07427022518765639,1248760.0,22.747983466564197,1.147,15,3,12,415120.0,20000.0,438060.0,429400.0,8660.0,2.0167675826734976,0.17584797322990342,11.468813348430114,1.0333473527762553,0.03845040062150425,0.04111310592459605,353120.0,11.234987287829789,11.234987287829789,11.234987287829789,1.0,1.0333473527762553,0.03845040062150425,False,0.1569035281285266,9.711256828824913,False
1.8,0.0,1.5,1.0,60,1.0,1.058,46,18,28,456660.0,0.0,456660.0,411600.0,45060.0,10.947521865889213,0.48248726138869874,22.68976352739338,1.2586790949644862,0.11392954501729867,0.061718098415346125,1069900.0,22.420391823021898,1.147,14,2,12,437860.0,0.0,437860.0,429400.0,8460.0,1.9701909641360038,0.17584797322990342,11.203944679875148,1.0087852355593674,0.038425612006208226,0.04111310592459605,330380.0,10.985176403082173,10.985176403082173,10.985176403082173,1.0,1.0087852355593674,0.038425612006208226,False,0.14114066506646938,9.626487548265844,False
2.5,0.5,1.5,1.0,60,1.0,1.058,32,11,21,460520.0,0.0,460520.0,411600.0,48920.0,11.885325558794948,0.48248726138869874,24.633449439859838,1.2739232660497106,0.11413094162799874,0.048790658882402,765720.0,24.44066198171297,1.147,15,3,12,415160.0,20000.0,438100.0,429400.0,8700.0,2.026082906380997,0.17584797322990342,11.521787082141111,1.0375478157765035,0.03845040062150425,0.04111310592459605,353080.0,11.28798750840764,11.28798750840764,11.28798750840764,1.0,1.0375478157765035,0.03845040062150425,False,0.1824953045560641,9.54590471938103,False
2.5,0.8,1.5,1.0,60,1.0,1.058,36,13,23,454120.0,0.0,454120.0,411600.0,42520.0,10.330417881438288,0.48248726138869874,21.41075777152167,1.1357922266683684,0.11419585239556398,0.06301084236864053,853720.0,21.19581430815498,1.147,15,3,12,415120.0,20000.0,438060.0,429400.0,8660.0,2.0167675826734976,0.17584797322990342,11.468813348430114,1.0333473527762553,0.03845040062150425,0.04111310592459605,353120.0,11.234987287829789,11.234987287829789,11.234987287829789,1.0,1.0333473527762553,0.03845040062150425,False,0.17897574568806984,9.52944734352687,False
